# This is a submission template for batch deposit of 'Plant; version 1.0' samples to the NCBI BioSample database (http://www.ncbi.nlm.nih.gov/biosample/).																																
# GREEN fields are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# BLUE  fields indicate that at least one of those fields is mandatory. If information is unavailable, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# YELLOW fields are optional. Leave optional fields empty (or delete them) if no information is available.																																
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.																																
# Hover over field name to view definition, or see http://www.ncbi.nlm.nih.gov/biosample/docs/attributes/.																																
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.																																
# TO MAKE A SUBMISSION: 																																
# 1. Complete this template table																																
# 2. Save the worksheet as a Text (Tab-delimited) file  -- (use 'File, Save as, Save as type: Text (Tab-delimited)' )																																
# 3. Upload the text file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/. 																																
# If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.																																
# 																																
*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	ploidy	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
JM2014-K-13	Leaf sample from Miscanthus sacchariflorus clone JM2014-K-13	PRJNA342314	Miscanthus sacchariflorus	JM2014-K-13				vegetative	Japan: Kushima, Miyazaki	leaf	Toshihiko Yamada, Hokkaido University	4x			A Nishiwaki	17-Aug-2014								31.452 N 131.2538 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-K-14	Leaf sample from Miscanthus x giganteus clone JM2014-K-14	PRJNA342314	Miscanthus x giganteus	JM2014-K-14				vegetative	Japan: Kushima, Miyazaki	leaf	Toshihiko Yamada, Hokkaido University	4x			A Nishiwaki	17-Aug-2014								31.4538 N 131.2485 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-K-15	Leaf sample from Miscanthus sacchariflorus clone JM2014-K-15	PRJNA342314	Miscanthus sacchariflorus	JM2014-K-15				vegetative	Japan: Kushima, Miyazaki	leaf	Toshihiko Yamada, Hokkaido University	4x			A Nishiwaki	17-Aug-2014								31.4547 N 131.2484 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM1(N24)	Leaf sample from Miscanthus sacchariflorus clone JM1(N24)	PRJNA342314	Miscanthus sacchariflorus	JM1(N24)				vegetative	Japan: Sasayamashi, Hygo	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								35.0733 N 135.1939 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2(N24)	Leaf sample from Miscanthus x giganteus clone JM2(N24)	PRJNA342314	Miscanthus x giganteus	JM2(N24)				vegetative	Japan: Nantanshi, Kyoto	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								35.3069 N 135.6383 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM4(N24)	Leaf sample from Miscanthus sacchariflorus clone JM4(N24)	PRJNA342314	Miscanthus sacchariflorus	JM4(N24)				vegetative	Japan: Gujoshi, Gifu	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								35.8119 N 136.8944 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM6(N24)	Leaf sample from Miscanthus sacchariflorus clone JM6(N24)	PRJNA342314	Miscanthus sacchariflorus	JM6(N24)				vegetative	Japan: Kawashima, Aichi	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								35.3631 N 136.8236 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMNagano(N24)	Leaf sample from Miscanthus sacchariflorus clone JMNagano(N24)	PRJNA342314	Miscanthus sacchariflorus	JMNagano(N24)				vegetative	Japan: Naganoshi, Nagano	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								36.6997 N 138.2721 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMKikuchi  (N24)	Leaf sample from Miscanthus sacchariflorus clone JMKikuchi  (N24)	PRJNA342314	Miscanthus sacchariflorus	JMKikuchi  (N24)				vegetative	Japan: Kikuchi, Kumamoto	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								32.9675 N 130.8077 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMKikuchi 1(N24)	Leaf sample from Miscanthus sacchariflorus clone JMKikuchi 1(N24)	PRJNA342314	Miscanthus sacchariflorus	JMKikuchi 1(N24)				vegetative	Japan: Kikuchi, Kumamoto	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								32.9726 N 130.8126 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMShira(N24)	Leaf sample from Miscanthus sacchariflorus clone JMShira(N24)	PRJNA342314	Miscanthus sacchariflorus	JMShira(N24)				vegetative	Japan: Shirakawa, Kumamoto	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								32.826 N 131.0963 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMKamisho(N24)	Leaf sample from Miscanthus sacchariflorus clone JMKamisho(N24)	PRJNA342314	Miscanthus sacchariflorus	JMKamisho(N24)				vegetative	Japan: Kamisho, Kumamoto	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								32.8997 N 130.7939 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMMiyakonojo (FSC)	Leaf sample from Miscanthus sacchariflorus clone JMMiyakonojo (FSC)	PRJNA342314	Miscanthus sacchariflorus	JMMiyakonojo (FSC)				vegetative	Japan: Miyakonojo, Miyazaki	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								31.751 N 131.0684 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMNaganuma(FSC)	Leaf sample from Miscanthus sacchariflorus clone JMNaganuma(FSC)	PRJNA342314	Miscanthus sacchariflorus	JMNaganuma(FSC)				vegetative	Japan: Naganuma, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								42.9287 N 141.7154 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JMTomato(N24)	Leaf sample from Miscanthus sacchariflorus clone JMTomato(N24)	PRJNA342314	Miscanthus sacchariflorus	JMTomato(N24)				vegetative	Japan: Komakomai, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada	2014								42.6631 N 141.7598 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-1	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-1	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-1				vegetative	Japan: Inzai, Chiba	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	03-Dec-2014								35.767 N 140.2151 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-2	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-2	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-2				vegetative	Japan: Takigazaki, Ibaraki	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	03-Dec-2014								35.9455 N 140.1372 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-3	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-3	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-3				vegetative	Japan: Tsuchiura, Ibaraki	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	03-Dec-2014								36.0869 N 140.2218 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-4	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-4	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-4				vegetative	Japan: Kasama, Ibaraki	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	03-Dec-2014								36.3519 N 140.2773 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-5	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-5	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-5				vegetative	Japan: Yaita, Tochigi	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								36.7498 N 139.8846 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-6	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-6	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-6				vegetative	Japan: Nasushiobara, Tochigi	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								36.9243 N 140.03 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-7	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-7	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-7				vegetative	Japan: Nishishirakawa, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								37.129 N 140.1718 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-8	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-8	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-8				vegetative	Japan: Koriyama-1, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								37.4404 N 140.153 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-9	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-9	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-9				vegetative	Japan: Koriyama-2, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								37.481 N 140.3098 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-10	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-10	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-10				vegetative	Japan: Nihonmatsu, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	04-Dec-2014								37.5698 N 140.4382 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-11	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-11	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-11				vegetative	Japan: Fukushima, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	05-Dec-2014								37.7723 N 140.5031 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-12	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-12	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-12				vegetative	Japan: Soma, Fukushima	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	05-Dec-2014								37.7734 N 140.837 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-13	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-13	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-13				vegetative	Japan: Shiroishi, Miyagi	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	05-Dec-2014								37.9572 N 140.6573 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-M-14	Leaf sample from Miscanthus sacchariflorus clone JM2014-M-14	PRJNA342314	Miscanthus sacchariflorus	JM2014-M-14				vegetative	Japan: Natori, Miyagi	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	05-Dec-2014								38.1394 N 140.885 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS001	Leaf sample from Miscanthus sacchariflorus clone KMS001	PRJNA342314	Miscanthus sacchariflorus	KMS001				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	01-May-2011								33.4317 N 126.4172 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS253	Leaf sample from Miscanthus sacchariflorus clone KMS253	PRJNA342314	Miscanthus sacchariflorus	KMS253				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								37.2003 N 128.9608 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS256	Leaf sample from Miscanthus sacchariflorus clone KMS256	PRJNA342314	Miscanthus sacchariflorus	KMS256				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.4692 N 129.215 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS257	Leaf sample from Miscanthus sacchariflorus clone KMS257	PRJNA342314	Miscanthus sacchariflorus	KMS257				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.3947 N 129.1594 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS259	Leaf sample from Miscanthus sacchariflorus clone KMS259	PRJNA342314	Miscanthus sacchariflorus	KMS259				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.4267 N 128.3828 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS262	Leaf sample from Miscanthus x giganteus clone KMS262	PRJNA342314	Miscanthus x giganteus	KMS262				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.3992 N 128.4231 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS263	Leaf sample from Miscanthus sacchariflorus clone KMS263	PRJNA342314	Miscanthus sacchariflorus	KMS263				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								37.2528 N 128.7795 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS264	Leaf sample from Miscanthus sacchariflorus clone KMS264	PRJNA342314	Miscanthus sacchariflorus	KMS264				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.8797 N 129.4181 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS265	Leaf sample from Miscanthus sacchariflorus clone KMS265	PRJNA342314	Miscanthus sacchariflorus	KMS265				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								37.1033 N 129.36 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS268	Leaf sample from Miscanthus sacchariflorus clone KMS268	PRJNA342314	Miscanthus sacchariflorus	KMS268				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.5747 N 129.3986 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS269	Leaf sample from Miscanthus sacchariflorus clone KMS269	PRJNA342314	Miscanthus sacchariflorus	KMS269				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.6253 N 128.4194 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS272	Leaf sample from Miscanthus sacchariflorus clone KMS272	PRJNA342314	Miscanthus sacchariflorus	KMS272				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.9725 N 128.2911 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS275	Leaf sample from Miscanthus sacchariflorus clone KMS275	PRJNA342314	Miscanthus sacchariflorus	KMS275				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	08-Nov-2013								34.9158 N 126.5972 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS276	Leaf sample from Miscanthus sacchariflorus clone KMS276	PRJNA342314	Miscanthus sacchariflorus	KMS276				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	08-Nov-2013								34.9703 N 126.5544 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS278	Leaf sample from Miscanthus sacchariflorus clone KMS278	PRJNA342314	Miscanthus sacchariflorus	KMS278				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.3164 N 128.5542 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS291	Leaf sample from Miscanthus sacchariflorus clone KMS291	PRJNA342314	Miscanthus sacchariflorus	KMS291				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.8258 N 129.2378 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS292	Leaf sample from Miscanthus x giganteus clone KMS292	PRJNA342314	Miscanthus x giganteus	KMS292				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	3x			Chang Yeon Yu	07-Nov-2013								37.1733 N 129.0203 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS300	Leaf sample from Miscanthus sacchariflorus clone KMS300	PRJNA342314	Miscanthus sacchariflorus	KMS300				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.2847 N 129.1031 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS301	Leaf sample from Miscanthus sacchariflorus clone KMS301	PRJNA342314	Miscanthus sacchariflorus	KMS301				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.9014 N 128.5558 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS302	Leaf sample from Miscanthus sacchariflorus clone KMS302	PRJNA342314	Miscanthus sacchariflorus	KMS302				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.2328 N 128.5636 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS308	Leaf sample from Miscanthus sacchariflorus clone KMS308	PRJNA342314	Miscanthus sacchariflorus	KMS308				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.9947 N 129.283 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS309	Leaf sample from Miscanthus sacchariflorus clone KMS309	PRJNA342314	Miscanthus sacchariflorus	KMS309				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.3944 N 129.37 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS310	Leaf sample from Miscanthus sacchariflorus clone KMS310	PRJNA342314	Miscanthus sacchariflorus	KMS310				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.8767 N 128.7139 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS311	Leaf sample from Miscanthus sacchariflorus clone KMS311	PRJNA342314	Miscanthus sacchariflorus	KMS311				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								34.93 N 126.6033 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS315	Leaf sample from Miscanthus sacchariflorus clone KMS315	PRJNA342314	Miscanthus sacchariflorus	KMS315				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								36.3286 N 128.5206 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS316	Leaf sample from Miscanthus sacchariflorus clone KMS316	PRJNA342314	Miscanthus sacchariflorus	KMS316				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.3425 N 126.6087 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS319	Leaf sample from Miscanthus sacchariflorus clone KMS319	PRJNA342314	Miscanthus sacchariflorus	KMS319				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								35.3578 N 129.1406 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS323	Leaf sample from Miscanthus x giganteus clone KMS323	PRJNA342314	Miscanthus x giganteus	KMS323				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	3x			Chang Yeon Yu	07-Nov-2013								34.6281 N 126.6233 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS324	Leaf sample from Miscanthus sacchariflorus clone KMS324	PRJNA342314	Miscanthus sacchariflorus	KMS324				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	4x			Chang Yeon Yu	07-Nov-2013								34.7267 N 126.5542 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
KMS326	Leaf sample from Miscanthus sacchariflorus clone KMS326	PRJNA342314	Miscanthus sacchariflorus	KMS326				vegetative	South Korea	leaf	Chang Yeon Yu, Kangwon National University	2x			Chang Yeon Yu	07-Nov-2013								35.0844 N 126.5 E								Rhizome collected in South Korea and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
